benchmark,topology,k,R,N,n_clean,acc_pct,mean_dyn_kJ,mean_total_tokens,acc_field,source_file
BrowseCompplus,centralized,1,2,2,50,16.0,20.709,43985.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R2_N2.jsonl
BrowseCompplus,centralized,1,2,3,50,22.0,36.259,70848.9,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k1_R2.jsonl
BrowseCompplus,centralized,1,2,5,50,28.0,38.923,123460.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R2_N5.jsonl
BrowseCompplus,centralized,1,30,3,50,2.0,323.094,1894477.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl
BrowseCompplus,centralized,2,2,2,50,24.0,23.287,102616.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k2_R2_N2.jsonl
BrowseCompplus,centralized,2,2,3,50,34.0,38.843,147911.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k2_R2.jsonl
BrowseCompplus,centralized,2,15,3,50,10.0,202.404,1479386.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl
BrowseCompplus,centralized,3,2,2,50,28.0,25.744,180846.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k3_R2_N2.jsonl
BrowseCompplus,centralized,3,2,3,50,36.0,43.184,248031.1,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k3_R2.jsonl
BrowseCompplus,centralized,3,10,3,50,22.0,150.185,1345806.5,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k3_R10_N3.jsonl
BrowseCompplus,centralized,5,2,2,50,40.0,32.182,342416.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k5_R2_N2.jsonl
BrowseCompplus,centralized,5,2,3,50,40.0,50.728,453438.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k5_R2.jsonl
BrowseCompplus,centralized,5,6,3,50,18.0,101.293,1283860.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k5_R6_N3.jsonl
BrowseCompplus,centralized,6,5,3,50,28.0,89.29,1152617.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k6_R5_N3.jsonl
BrowseCompplus,centralized,7,2,2,29,41.4,31.524,494546.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k7_R2_N2.jsonl
BrowseCompplus,centralized,7,2,3,50,36.0,61.682,695518.7,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k7_R2.jsonl
BrowseCompplus,centralized,10,2,1,50,38.0,32.07,418652.4,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl
BrowseCompplus,centralized,10,2,2,50,36.0,56.174,662319.5,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl
BrowseCompplus,centralized,10,2,3,50,38.0,81.269,1025764.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl
BrowseCompplus,centralized,10,2,4,50,42.0,95.892,1338666.6,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl
BrowseCompplus,centralized,10,2,5,50,46.0,119.599,1578481.5,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl
BrowseCompplus,centralized,10,2,10,50,52.0,193.807,2968860.7,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N10.jsonl
BrowseCompplus,centralized,10,3,3,50,30.0,59.613,1005871.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl
BrowseCompplus,centralized,15,2,3,50,40.0,55.519,977716.3,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl
BrowseCompplus,centralized,20,2,3,50,42.0,120.144,1753538.7,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k20_R2.jsonl
BrowseCompplus,centralized,30,1,3,50,40.0,29.52,874773.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl
BrowseCompplus,centralized,30,2,2,49,38.8,46.754,1044387.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k30_R2_N2.jsonl
BrowseCompplus,centralized,30,2,3,50,52.0,186.144,2627202.6,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k30_R2.jsonl
BrowseCompplus,centralized,50,2,3,50,36.0,240.629,3598425.9,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_centralized_k50_R2.jsonl
BrowseCompplus,decentralized,1,2,2,50,24.0,24.768,51254.6,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k1_R2_N2.jsonl
BrowseCompplus,decentralized,1,2,3,50,22.0,38.162,81261.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k1.jsonl
BrowseCompplus,decentralized,1,2,4,50,26.0,39.325,113805.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k1_R2_N4.jsonl
BrowseCompplus,decentralized,1,2,5,50,30.0,43.09,144172.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k1_R2_N5.jsonl
BrowseCompplus,decentralized,1,30,3,50,28.0,249.782,1930886.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k1_R30_N3.jsonl
BrowseCompplus,decentralized,2,2,2,50,38.0,20.032,128599.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k2_R2_N2.jsonl
BrowseCompplus,decentralized,2,2,3,50,46.0,40.586,323606.7,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k2.jsonl
BrowseCompplus,decentralized,2,2,4,50,40.0,33.374,255201.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k2_R2_N4.jsonl
BrowseCompplus,decentralized,2,2,5,50,36.0,40.773,318961.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k2_R2_N5.jsonl
BrowseCompplus,decentralized,2,15,3,50,46.0,131.991,1184729.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k2_R15_N3.jsonl
BrowseCompplus,decentralized,3,2,2,50,40.0,26.282,213516.5,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k3_R2_N2.jsonl
BrowseCompplus,decentralized,3,2,3,50,46.0,52.291,452553.2,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k3.jsonl
BrowseCompplus,decentralized,3,2,4,50,50.0,39.75,369013.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k3_R2_N4.jsonl
BrowseCompplus,decentralized,3,2,5,50,40.0,47.319,460293.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k3_R2_N5.jsonl
BrowseCompplus,decentralized,3,10,3,50,46.0,96.406,949713.3,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k3_R10_N3.jsonl
BrowseCompplus,decentralized,5,2,2,50,40.0,39.379,301928.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k5_R2_N2.jsonl
BrowseCompplus,decentralized,5,2,3,50,52.0,73.306,657305.1,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k5.jsonl
BrowseCompplus,decentralized,5,2,4,50,48.0,64.45,552680.3,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k5_R2_N4.jsonl
BrowseCompplus,decentralized,5,2,5,50,50.0,75.267,667428.5,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k5_R2_N5.jsonl
BrowseCompplus,decentralized,5,6,3,50,40.0,77.688,743351.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k5_R6_N3.jsonl
BrowseCompplus,decentralized,6,5,3,49,44.9,62.138,687054.6,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k6_R5_N3.jsonl
BrowseCompplus,decentralized,7,2,2,50,44.0,33.681,421516.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k7_R2_N2.jsonl
BrowseCompplus,decentralized,7,2,3,50,44.0,87.616,910471.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k7.jsonl
BrowseCompplus,decentralized,7,2,4,50,48.0,62.168,711355.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k7_R2_N4.jsonl
BrowseCompplus,decentralized,7,2,5,50,46.0,67.356,857244.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k7_R2_N5.jsonl
BrowseCompplus,decentralized,10,2,1,50,34.0,29.971,302505.5,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_decentralized_k10_R2_N1.jsonl
BrowseCompplus,decentralized,10,2,2,50,32.0,83.48,824794.5,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_decentralized_k10_R2_N2.jsonl
BrowseCompplus,decentralized,10,2,3,50,48.0,105.335,1010908.7,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_decentralized_k10.jsonl
BrowseCompplus,decentralized,10,2,4,50,46.0,120.479,1332616.2,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_decentralized_k10_R2_N4.jsonl
BrowseCompplus,decentralized,10,2,5,50,54.0,138.992,1372109.1,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_decentralized_k10_R2_N5.jsonl
BrowseCompplus,decentralized,10,2,10,50,54.0,275.073,2668573.8,correct,final_qwen9b_canonical/BrowseCompplus/n_sweep/Qwen_Qwen3.5-9B_decentralized_k10_R2_N10.jsonl
BrowseCompplus,decentralized,10,3,3,50,38.0,47.144,600000.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k10_R3_N3.jsonl
BrowseCompplus,decentralized,15,2,2,50,44.0,38.756,546274.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k15_R2_N2.jsonl
BrowseCompplus,decentralized,15,2,3,50,50.0,45.268,669222.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_decentralized_k15_R2_N3.jsonl
