benchmark,topology,k,R,N,task_id,score,gpu_dynamic_kJ,utilization,answered,source_file,decent_convention
SWE_bench,centralized,10,2,2,django__django-16139,1.0,27.236585,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-13773,0.0,24.15624,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-12497,1.0,42.822839,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-15320,0.0,40.403879,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-12284,0.0,32.854938,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-15308,0.0,30.078523,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,scikit-learn__scikit-learn-13439,1.0,32.016937,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,matplotlib__matplotlib-18869,0.0,44.212449,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-11620,0.0,30.609943,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-11897,0.0,44.48641,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-11848,0.0,130.877572,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-24066,0.0,57.667242,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-15996,0.0,31.49944,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sphinx-doc__sphinx-8713,1.0,25.571676,0.775,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,scikit-learn__scikit-learn-25638,0.0,41.665376,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-24152,1.0,65.97282,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-22840,0.0,45.087901,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-12589,0.0,30.413117,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,pydata__xarray-4248,0.0,22.863158,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,pytest-dev__pytest-5495,0.0,29.260475,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-14317,0.0,45.760821,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,astropy__astropy-14182,0.0,53.428135,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-11870,0.0,36.879203,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-15345,0.0,43.49668,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,mwaskom__seaborn-3010,1.0,49.636215,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,matplotlib__matplotlib-24334,0.0,26.972974,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-14396,0.0,58.869555,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,scikit-learn__scikit-learn-25747,0.0,26.173663,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-15202,0.0,85.022582,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,astropy__astropy-7746,0.0,40.282578,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-21171,0.0,51.964261,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,matplotlib__matplotlib-23299,0.0,23.98764,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,scikit-learn__scikit-learn-13142,0.0,35.263283,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-12308,0.0,28.978202,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-13031,0.0,37.764925,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,pytest-dev__pytest-8365,0.0,31.440347,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-15346,0.0,57.295307,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-16229,0.0,28.356829,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-16820,0.0,44.703436,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-13158,0.0,38.792272,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-15609,0.0,37.630102,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-13971,1.0,33.281806,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-20154,1.0,107.732514,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-14534,0.0,50.42226,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-18532,0.0,31.517576,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-15819,0.0,55.546261,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sympy__sympy-17139,0.0,59.206064,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,pydata__xarray-4493,0.0,35.978381,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,sphinx-doc__sphinx-10451,0.0,26.497228,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,2,django__django-13447,0.0,25.791385,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,
SWE_bench,centralized,10,2,4,django__django-16139,1.0,56.374476,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-13773,0.0,59.331004,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-12497,1.0,71.629928,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-15320,0.0,59.057512,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,django__django-12284,0.0,73.8394,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,sympy__sympy-15308,0.0,53.453857,1.0,0,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
SWE_bench,centralized,10,2,4,scikit-learn__scikit-learn-13439,1.0,63.936043,1.0,1,a5000_swebench_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,
