topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,10,2,1,Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl,100,0,35,35.0,35.0,9.395700714645605,32.016882246453946,2.980910068240447,100,425747.09,4367.57,False,9.395700714645605,32.01688224645395,2.980910068240447,3201.688224645395,37.33907271,39.93663770947742,18.952790505975408,12.930180634554729,0.13391110592381752,195.08968313154065,195.08968313154065,421379.52,4367.57,425747.09,23.14,21.46,56779050.235
centralized,10,2,2,Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,100,0,36,36.0,36.0,9.455395765958666,60.49169495255778,7.160339636976511,100,707098.16,6979.09,False,9.455395765958666,60.49169495255779,7.160339636976511,6049.169495255779,68.99277354999998,74.14796679022115,32.65505845931806,27.578709796555245,0.2579266966844484,231.89964192608372,317.12140922369434,700119.07,6979.09,707098.16,34.87,35.35,90327818.985
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,100,0,37,37.0,37.0,9.510637107040631,80.6630969522021,8.041178757114931,100,1025633.39,8826.75,False,9.510637107040631,80.66309695220212,8.041178757114931,8066.309695220213,89.90952684,96.54189063687335,49.92781874845349,30.301581201751205,0.4336970019974007,237.37013120550662,413.0322703295946,1016806.64,8826.75,1025633.39,50.23,50.31,131815834.365
centralized,10,2,4,Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,100,0,39,39.0,39.0,9.608059748003866,97.33417560601312,9.688118419341736,100,1381947.25,9843.07,False,9.608059748003866,97.33417560601312,9.688118419341736,9733.417560601312,109.30340021999997,117.6849632873486,66.19195874500551,30.634580127376527,0.5076367336310972,236.91560036646203,504.7479983615875,1372104.18,9843.07,1381947.25,65.68,66.75,168389649.285
centralized,10,2,5,Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,100,0,44,44.0,44.0,9.778197970769234,117.13198900459362,11.679726288674296,100,1648915.9,11705.34,False,9.778197970769234,117.13198900459358,11.679726288674296,11713.198900459358,131.88068244,141.92741154233764,82.49504097515208,33.974630297720516,0.6623177317210126,248.97894269200043,607.8162214603461,1637210.56,11705.34,1648915.9,83.33,79.7,215008628.98
centralized,10,2,10,Qwen_Qwen3.5-9B_centralized_k10_R2_N10.jsonl,100,0,50,50.0,50.0,9.849370589540278,187.59308451662426,18.034353102514594,100,2882302.51,19177.6,False,9.849370589540278,187.59308451662426,18.034353102514594,18759.308451662426,214.43218421,231.48243562985354,143.5551422564148,42.928017901701644,1.1099243585078138,256.2234752622619,996.3205786150135,2863124.91,19177.6,2882302.51,152.43,144.11,395413249.3
decentralized,10,2,1,Qwen_Qwen3.5-9B_decentralized_k10_R2_N1.jsonl,100,0,29,29.0,28.999999999999996,8.938541222812544,29.71111120362226,4.488498050669448,100,300897.99,4061.13,False,8.938541222812544,29.711111203622263,4.488498050669448,2971.1111203622263,34.55538838,36.66352038408316,18.413144275427932,11.182060435353556,0.11590649284077462,180.05528398537078,180.05528398537078,296836.86,4061.13,300897.99,22.11,14.53,70938118.775
decentralized,10,2,2,Qwen_Qwen3.5-9B_decentralized_k10_R2_N2.jsonl,100,0,33,33.0,33.0,9.262598627455112,81.4266320791355,11.966038935423512,100,861401.58,8378.07,False,9.262598627455112,81.42663207913546,11.966038935423512,8142.663207913546,91.10697978999998,97.80717249076108,62.34872746023639,18.68140345233162,0.39650116656749984,276.9623136219941,416.77131312297655,853023.51,8378.07,861401.58,56.49,36.28,197386951.425
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10_R2_N3.jsonl,100,0,41,41.0,41.0,9.688496980304723,73.28419151499986,9.64257127832276,100,881177.7,8570.65,True,9.688496980304723,73.28419151499988,9.64257127832276,7328.4191514999875,85.64131150000001,91.73687353362018,53.83910405317779,19.067273730462272,0.37781373135978463,233.03361628447195,448.5814545502956,872607.05,8570.65,881177.7,65.91,40.91,197992095.075
decentralized,10,2,4,Qwen_Qwen3.5-9B_decentralized_k10_R2_N4.jsonl,100,0,44,44.0,44.0,9.778197970769234,121.57369346111022,15.843655643693683,100,1355532.38,13277.29,False,9.778197970769234,121.57369346111021,15.843655643693683,12157.369346111022,143.81274467,154.43328080490622,96.82046999059436,24.27805056145153,0.47517290906433424,274.00746044386176,658.4469537283667,1342255.09,13277.29,1355532.38,90.72,59.68,341009904.735
decentralized,10,2,5,Qwen_Qwen3.5-9B_decentralized_k10_R2_N5.jsonl,100,0,50,50.0,50.0,9.849370589540278,149.63638930331942,18.68701075732292,100,1615849.17,15411.7,False,9.849370589540278,149.63638930331936,18.68701075732292,14963.638930331937,169.39872487,177.28525240129954,116.48757351654095,32.45506694876904,0.6937488380094315,280.8308234991506,775.2339750836603,1600437.47,15411.7,1615849.17,107.24,71.27,401146168.53
decentralized,10,2,10,Qwen_Qwen3.5-9B_decentralized_k10_R2_N10.jsonl,100,0,51,51.0,51.0,9.847400518395553,302.76684138315466,32.806246175499396,100,3093070.76,30534.42,False,9.847400518395553,302.7668413831547,32.806246175499396,30276.68413831547,339.30260093,355.2371387504012,233.52344543658847,67.68893929894782,1.5544566476185815,326.4162868318148,1563.2330059116707,3062536.34,30534.42,3093070.76,209.16,136.16,807586453.78
independent,20,,2,Qwen_Qwen3.5-9B_independent_k20_N2.jsonl,100,0,33,33.0,33.0,9.262598627455112,36.155403690639076,4.7992331282976854,100,514809.69,4816.31,False,9.262598627455112,36.155403690639076,4.7992331282976854,3615.5403690639073,42.05779301000001,45.02136703598072,27.90624354359172,8.02382222625824,0.22533792078911488,144.18204369029962,213.09616398172918,509993.38,4816.31,514809.69,40.98,23.75,97005445.465
independent,20,,3,Qwen_Qwen3.5-9B_independent_k20_N3.jsonl,100,0,37,37.0,37.0,9.510637107040631,48.59146348911195,6.502987316127511,100,761924.52,5911.24,False,9.510637107040631,48.59146348911196,6.502987316127511,4859.146348911196,55.97152639,59.95386482308625,40.03509938824659,8.217286521954136,0.3390775789112148,152.15441975000314,285.78142290249,756013.28,5911.24,761924.52,59.9,34.44,124147761.82
independent,20,,4,Qwen_Qwen3.5-9B_independent_k20_N4.jsonl,100,0,41,41.0,41.0,9.688496980304723,64.66241313265984,7.975034570233132,100,1058049.04,7703.1,False,9.688496980304723,64.66241313265986,7.975034570233132,6466.241313265986,73.27950464999999,78.52301187097288,54.33704556034217,9.79711069008527,0.5282568822324071,162.2047745863814,375.5152438830957,1050345.94,7703.1,1058049.04,82.04,47.41,169942056.25
independent,20,,5,Qwen_Qwen3.5-9B_independent_k20_N5.jsonl,100,0,46,46.0,46.0,9.817802012855848,77.47064198160734,10.388419990620037,100,1283717.29,9460.32,False,9.817802012855848,77.47064198160733,10.388419990620037,7747.064198160733,89.58031637000002,96.04767965029876,66.42946137822061,10.437303194960068,0.6038774084266928,167.30273318838795,459.24171704763546,1274256.97,9460.32,1283717.29,99.94,57.59,217451054.84
independent,20,,10,Qwen_Qwen3.5-9B_independent_k20_N10.jsonl,100,0,50,50.0,50.0,9.849370589540278,151.3614946903233,19.48887477397053,100,2603011.92,17575.91,False,9.849370589540278,151.36149469032327,19.48887477397053,15136.149469032327,173.65763685000005,185.2937395725102,133.49148091545834,16.482003557167513,1.388010217697458,196.91932402551174,892.3609752554632,2585436.01,17575.91,2603011.92,203.26,115.29,425051214.845
