topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,30,3,Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl,100,0,22,22.0,22.0,8.16013071790724,437.37327454505805,31.486244204481807,100,3121962.18,61629.02,False,8.16013071790724,437.3732745450581,31.486244204481807,43737.32745450581,488.85890883,519.1869942084791,127.26891783847894,309.65491577144473,0.449440935134314,1689.0489576415018,2402.130484162243,3060333.16,61629.02,3121962.18,72.03,203.81,733717099.82
centralized,2,15,3,Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl,100,0,21,21.0,21.0,8.023459542510514,243.1375528906138,15.62599000751791,100,2330182.36,33526.59,False,8.023459542510514,243.13755289061376,15.62599000751791,24313.755289061377,280.2631832300001,295.5759314146123,90.54941667266608,152.16856663606845,0.4195695818792229,937.630793550429,1376.4514187951618,2296655.77,33526.59,2330182.36,71.11,132.16,375716082.285
centralized,3,10,3,Qwen_Qwen3.5-9B_centralized_k3_R10_N3.jsonl,100,0,30,30.0,30.0,9.02709725484803,183.2712492459738,11.018115469824473,100,2020579.87,24561.77,False,9.02709725484803,183.27124924597388,11.018115469824473,18327.12492459739,211.83245705999988,225.37184174932918,84.01116243045108,98.85056625651175,0.4095205590109267,677.0170250160759,1045.1341224550736,1996018.1,24561.77,2020579.87,71.58,106.72,319282591.935
centralized,5,6,3,Qwen_Qwen3.5-9B_centralized_k5_R6_N3.jsonl,100,0,32,32.0,32.0,9.188992976338154,129.4594431355172,8.051014242439809,100,1743914.47,16352.49,False,9.188992976338154,129.45944313551726,8.051014242439809,12945.944313551725,148.99737962999998,157.34613470610847,72.76516969295585,56.245920836133365,0.448352606428022,450.8071723991027,741.7247809076263,1727561.98,16352.49,1743914.47,69.59,85.56,238626361.975
centralized,6,5,3,Qwen_Qwen3.5-9B_centralized_k6_R5_N3.jsonl,100,0,32,32.0,32.0,9.188992976338154,118.91585778571427,9.720872989509001,100,1671303.57,14914.01,False,9.188992976338154,118.91585778571424,9.720872989509001,11891.585778571423,136.24009564000002,145.28749976440028,70.4190935091339,48.06007978556115,0.4366844910191853,406.60714761649723,680.2574584712507,1656389.56,14914.01,1671303.57,70.5,80.22,228809588.025
centralized,10,3,3,Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl,100,0,39,39.0,39.0,9.608059748003866,91.32662914410395,9.410571221446604,100,1466375.2,10798.81,False,9.608059748003866,91.32662914410395,9.410571221446604,9132.662914410395,104.04437518,109.39640681225555,62.34818568677011,28.548766902147484,0.4296765551863291,292.23070541347346,524.8915873148915,1455576.39,10798.81,1466375.2,67.31,67.61,183579318.225
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl,100,0,41,41.0,41.0,9.688496980304723,80.35310346417229,8.655531584361054,100,1370894.77,9194.43,False,9.688496980304723,80.3531034641723,8.655531584361054,8035.31034641723,90.78543033999999,97.01766031596745,58.89202239883949,21.000803427862508,0.4602776374702783,248.99596510979814,458.42435603723396,1361700.34,9194.43,1370894.77,64.74,61.23,172695322.785
centralized,30,1,3,Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl,100,0,39,39.0,39.0,9.608059748003866,61.41831504607187,10.279207449944755,100,1277272.02,6745.59,False,9.608059748003866,61.418315046071875,10.279207449944755,6141.8315046071875,71.74955116000001,76.99897944375547,53.713137286953696,7.272891971497311,0.4322857876208669,198.02130672313274,372.00801131098063,1270526.43,6745.59,1277272.02,66.18,55.36,150197410.475
decentralized,1,30,3,Qwen_Qwen3.5-9B_decentralized_k1_R30_N3.jsonl,100,0,32,32.0,32.0,9.188992976338154,297.4477930744858,20.022711992503538,100,2317652.02,38963.52,False,9.188992976338154,297.4477930744858,20.022711992503538,29744.779307448578,335.1515298399999,353.9745033255025,251.73345765591446,45.521109215151654,0.19322620341963456,703.1269865125511,1627.4738128179126,2278688.5,38963.52,2317652.02,26.74,89.62,1076853898.06
decentralized,2,15,3,Qwen_Qwen3.5-9B_decentralized_k2_R15_N3.jsonl,100,0,39,39.0,39.0,9.608059748003866,147.99237112528164,10.380337175630427,100,1447639.48,18564.93,False,9.608059748003866,147.99237112528166,10.380337175630427,14799.237112528166,167.22788579000004,176.40537834120107,123.48916954273429,24.206622071944917,0.2965795106024198,361.355021141069,817.3617059013853,1429074.55,18564.93,1447639.48,43.42,62.54,466399387.805
