topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,loose_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,2,3,Qwen_Qwen3.5-9B_centralized_k1_R2.jsonl,50,0,7,14.0,54.59126984126985,54.59126984126984,7.7284599107838154,19.330810569204424,2.8768847391912313,50,56466.68,3339.5,False,7.7284599107838154,19.33081056920443,2.8768847391912313,966.5405284602215,22.55858906,24.10908896180115,3.3333439224679062,15.833346892943513,0.16411975379300553,83.36035297840834,104.0328424750641,53127.18,3339.5,56466.68,8.4,14.66,13997630.53
centralized,2,2,3,Qwen_Qwen3.5-9B_centralized_k2_R2.jsonl,50,0,7,14.0,61.16507936507936,61.165079365079364,7.804861024063034,26.50960279021514,3.7640009242313277,50,216429.26,3640.5,False,7.804861024063034,26.509602790215144,3.7640009242313277,1325.4801395107572,30.948031160000006,33.083701364163815,8.04879366075548,18.209868641029843,0.2509404884298235,88.37370154652744,143.14867271713914,212788.76,3640.5,216429.26,13.68,18.98,35084820.79
centralized,3,2,3,Qwen_Qwen3.5-9B_centralized_k3_R2.jsonl,50,0,9,18.0,65.9515873015873,65.9515873015873,7.979453395679879,33.432987391992015,3.9038031404422946,50,309088.32,4632.12,False,7.979453395679879,33.43298739199201,3.9038031404422946,1671.6493695996005,39.052806720000014,41.77248198633541,17.33492058905287,15.747561294584045,0.3505055083551052,108.41906810246408,181.3623898177594,304456.2,4632.12,309088.32,22.3,22.9,57686010.12
centralized,5,2,3,Qwen_Qwen3.5-9B_centralized_k5_R2.jsonl,50,0,13,26.0,67.50396825396825,67.50396825396825,7.798717605882155,40.86152270794224,4.850752635128646,50,458375.58,5196.5,False,7.798717605882155,40.861522707942235,4.850752635128646,2043.0761353971118,45.28627509999999,48.569684311675495,24.714385177122907,15.701160617591995,0.44597691322734634,124.9421528768912,212.02937640372664,453179.08,5196.5,458375.58,27.28,28.88,71947464.49
centralized,7,2,3,Qwen_Qwen3.5-9B_centralized_k7_R2.jsonl,50,0,13,26.0,67.0563492063492,67.05634920634921,8.376925005227745,45.045305007101526,5.006659417000588,50,611674.9,5921.1,False,8.376925005227745,45.045305007101526,5.006659417000588,2252.265250355076,52.64941601999999,56.37073845044653,30.215106175209506,14.33347752777392,0.49672130411810583,138.77455113664269,245.65963427938522,605753.8,5921.1,611674.9,36.04,35.08,95806796.53
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,50,0,10,20.0,67.54761904761904,67.54761904761905,7.494974118503482,55.95228142920797,7.206308104039521,50,785156.1,7353.36,False,7.494974118503482,55.95228142920798,7.206308104039521,2797.614071460399,65.37809827999997,70.0176983134581,40.521653932799495,14.83484766714502,0.5957798292634611,173.68482507895678,304.48879960197957,777802.74,7353.36,785156.1,43.06,40.52,131704884.02
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2.jsonl,50,0,13,26.0,72.42698412698412,72.42698412698412,7.375741137901554,59.83904685925547,8.116085090411422,50,934953.62,7680.04,False,7.375741137901554,59.83904685925545,8.116085090411422,2991.9523429627725,69.9262787,74.89940424730423,46.38656201535698,12.811600216972021,0.6408846269264875,183.74453351218253,326.0737445899099,927273.58,7680.04,934953.62,50.48,46.96,140227476.88
centralized,20,2,3,Qwen_Qwen3.5-9B_centralized_k20_R2.jsonl,50,0,10,20.0,68.41904761904763,68.41904761904762,6.752814999668885,63.737738341091806,10.292254672652541,50,1088940.72,8188.76,False,6.752814999668885,63.73773834109183,10.292254672652541,3186.8869170545913,74.50406075999999,79.84471237726943,50.99832492168699,12.033326192095025,0.7060872273097722,200.14951015736906,348.03346901144835,1080751.96,8188.76,1088940.72,55.3,51.08,164293926.22
centralized,30,2,3,Qwen_Qwen3.5-9B_centralized_k30_R2.jsonl,50,0,8,16.0,68.86587301587302,68.865873015873,7.231012459205499,81.31797223921825,19.6461874327015,50,1349999.2,10036.68,False,7.231012459205499,81.31797223921825,19.6461874327015,4065.898611960912,95.0017281,101.90547766989995,68.39559772744445,12.154245789156812,0.7681287226169791,249.90342767722905,442.80213408622893,1339962.52,10036.68,1349999.2,75.52,61.96,212873905.3
centralized,50,2,3,Qwen_Qwen3.5-9B_centralized_k50_R2.jsonl,50,0,10,20.0,71.05952380952381,71.05952380952381,6.565387448253074,83.11638739921273,18.504938604354997,50,1682946.48,10071.42,False,6.565387448253074,83.11638739921271,18.504938604354997,4155.819369960635,97.18991112000002,104.31587562920414,71.65954634303019,10.620721870981471,0.8361191852010641,269.24158030372115,455.0162201202661,1672875.06,10071.42,1682946.48,72.9,71.3,222488012.79
decentralized,1,2,3,Qwen_Qwen3.5-9B_decentralized_k1.jsonl,50,0,5,10.0,59.09682539682537,59.096825396825395,7.870214692665122,21.94215266385883,5.0655949382672905,50,58092.18,3407.14,False,7.870214692665122,21.942152663858824,5.0655949382672905,1097.1076331929412,24.476345120000015,25.603449044010386,4.567325889727249,17.241599886040028,0.13322688809155547,74.63027066741138,111.28290070474148,54685.04,3407.14,58092.18,6.24,12.3,38201398.35
decentralized,2,2,3,Qwen_Qwen3.5-9B_decentralized_k2.jsonl,50,0,8,16.0,64.28015873015872,64.28015873015873,8.489580253987171,48.83251576259588,9.014269734793103,50,278463.36,6832.56,False,8.489580253987171,48.8325157625959,9.014269734793103,2441.6257881297947,53.84143673999999,57.449892046162944,25.582795433683923,22.85236346218523,0.397356866726722,135.54412317276,244.8666651847586,271630.8,6832.56,278463.36,15.6,19.38,122710223.72
decentralized,3,2,3,Qwen_Qwen3.5-9B_decentralized_k3.jsonl,50,0,8,16.0,66.90238095238095,66.90238095238095,7.27415767810445,41.04911368878577,5.290753953542084,50,359496.86,5436.28,False,7.27415767810445,41.04911368878578,5.290753953542084,2052.455684439289,45.84732032000001,47.98054178989625,30.60633968980467,10.07277568508424,0.3699983138968657,111.59415221892297,210.88712105326354,354060.58,5436.28,359496.86,20.94,22.92,97942258.22
decentralized,5,2,3,Qwen_Qwen3.5-9B_decentralized_k5.jsonl,50,0,10,20.0,72.66825396825396,72.66825396825396,6.533233393037572,52.57420212788703,8.146005979836529,50,510455.46,6381.9,False,6.533233393037572,52.57420212788704,8.146005979836529,2628.710106394352,58.146471460000015,61.1929966564966,42.63399058300752,9.342998563968774,0.5972129809107423,146.09469003498555,267.87750436231494,504073.56,6381.9,510455.46,29.14,28.78,120918532.79
decentralized,7,2,3,Qwen_Qwen3.5-9B_decentralized_k7.jsonl,50,0,12,24.0,71.98968253968253,71.98968253968255,6.292351229866304,56.07610447165213,10.29683045068509,50,599014.82,7062.62,False,6.292351229866304,56.07610447165215,10.29683045068509,2803.8052235826076,62.64771129999998,65.57197519228586,48.058125569900106,7.451875732169338,0.5661031695826908,151.82743542652577,289.1170928811282,591952.2,7062.62,599014.82,35.82,32.12,141562049.81
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10.jsonl,50,0,13,26.0,72.44365079365078,72.44365079365079,6.996364166876646,63.56326976710499,11.397957147119643,50,792595.22,8020.22,False,6.996364166876646,63.56326976710501,11.397957147119643,3178.1634883552506,70.39340406,73.7018009967521,55.29616261023423,7.658815113699067,0.6082920431717025,174.1676102758944,327.0411835347488,784575.0,8020.22,792595.22,44.74,37.9,173502729.49
decentralized,15,2,3,Qwen_Qwen3.5-9B_decentralized_k15.jsonl,50,0,11,22.0,72.35079365079365,72.35079365079365,6.836201226549475,65.9344470396153,12.04930164947719,50,915629.78,8285.46,False,6.836201226549475,65.93444703961529,12.04930164947719,3296.722351980765,73.70652198,77.17034671346968,58.384764591500506,6.805954647801935,0.7437278003128611,179.84313969109206,342.3422789832577,907344.32,8285.46,915629.78,53.6,44.3,170628302.41
decentralized,20,2,3,Qwen_Qwen3.5-9B_decentralized_k20.jsonl,50,0,12,24.0,73.28492063492064,73.28492063492064,6.56077166870551,68.75789541066405,12.60925010164464,50,1059438.24,8308.06,False,6.56077166870551,68.75789541066405,12.60925010164464,3437.894770533202,76.89713596,80.52870933915365,61.94773229907996,6.056434002021723,0.753729109562338,182.64668141346425,358.5933256142587,1051130.18,8308.06,1059438.24,56.44,48.16,180713920.51
decentralized,30,2,3,Qwen_Qwen3.5-9B_decentralized_k30.jsonl,50,0,11,22.0,71.80952380952381,71.80952380952381,6.9293913295130665,79.47903372413663,17.418098674586936,50,1285791.78,9805.5,False,6.9293913295130665,79.47903372413664,17.418098674586936,3973.951686206832,90.46071932000001,96.94333848407656,74.15740231752933,4.538525437849077,0.7831059687581992,218.55156299643218,421.1858113025501,1275986.28,9805.5,1285791.78,66.2,55.38,215429960.33
