topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,loose_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,10,2,1,Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl,100,0,15,15.0,57.74440836940837,57.744408369408376,6.061517397834165,19.042708087814,1.6225359882599002,100,336336.63,2560.2,False,6.061517397834165,19.042708087814002,1.6225359882599002,1904.2708087814003,22.424616979999996,24.047199770314293,12.546745776293655,6.22046653896198,0.2754957725583658,120.97940262345364,120.97940262345364,333776.43,2560.2,336336.63,16.5,18.27,38366222.83
centralized,10,2,2,Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,100,0,20,20.0,62.52142857142857,62.52142857142857,5.926858475823675,37.04323685626779,3.9398065807086544,100,503210.02,4521.96,False,5.926858475823675,37.043236856267804,3.9398065807086544,3704.3236856267804,41.71670247,44.880655601732826,24.711872001081844,11.802330427068698,0.5290344281172551,140.07391758540646,196.46956946766005,498688.06,4521.96,503210.02,27.76,27.22,70134901.44
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,100,0,23,23.0,66.63037518037518,66.63037518037518,5.7315376720131175,52.19324715087544,5.262426076648386,100,734023.34,6577.82,False,5.7315376720131175,52.19324715087544,5.262426076648386,5219.324715087544,60.108463349999994,63.738826905948635,37.75839533952215,13.770826521668726,0.6640252896845812,160.7827133810334,281.7386386522651,727445.52,6577.82,734023.34,44.54,40.29,113611462.47
centralized,10,2,4,Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,100,0,23,23.0,67.19505772005773,67.19505772005772,5.377553553455664,56.99607244130398,5.422639928284581,100,818966.57,6790.26,False,5.377553553455664,56.99607244130398,5.422639928284581,5699.607244130398,63.73346346999999,66.76305743040251,41.63698994142604,14.483207954621843,0.8758745452560874,151.15607865007595,299.2300299072452,812176.31,6790.26,818966.57,41.58,43.69,113767238.67
centralized,10,2,5,Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,100,0,26,26.0,69.93878066378066,69.93878066378066,5.166800555558567,63.99008287459708,7.647164744789409,100,908371.19,7440.61,False,5.166800555558567,63.990082874597064,7.647164744789409,6399.0082874597065,72.50436065000002,77.9653280517122,49.833054559468536,13.340729705055661,0.8162986100728632,146.0278225269541,339.092696326077,900930.58,7440.61,908371.19,42.2,48.9,140237268.505
decentralized,10,2,1,Qwen_Qwen3.5-9B_decentralized_k10_R2_N1.jsonl,100,0,19,19.0,64.2333694083694,64.23336940836941,5.535440033322918,15.396850081146894,1.6061582007245483,100,218849.22,2252.55,False,5.535440033322918,15.39685008114689,1.6061582007245483,1539.685008114689,17.752165970000004,18.864053742995228,11.032617900681203,4.106218997530265,0.25801318293543135,95.76017059036297,95.76017059036297,216596.67,2252.55,218849.22,13.02,12.46,35038936.435
decentralized,10,2,2,Qwen_Qwen3.5-9B_decentralized_k10_R2_N2.jsonl,100,0,28,28.0,70.29415584415584,70.29415584415585,5.349330693618082,36.387766048764306,4.986253357150457,100,478301.28,4454.76,False,5.349330693618082,36.38776604876431,4.986253357150457,3638.776604876431,40.53003866999999,43.54663075488716,30.20321780997413,5.723362442522124,0.4611857962680539,126.76378771599383,189.29216291269287,473846.52,4454.76,478301.28,25.44,24.39,89042735.23
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10_R2_N3.jsonl,100,0,27,27.0,71.27727272727273,71.27727272727272,5.470227244510758,38.72757912014207,3.8968626442816556,100,575789.2,5353.71,False,5.470227244510758,38.72757912014206,3.8968626442816556,3872.757912014206,44.39886304999999,47.17948127620889,32.09430058081056,6.143780230280263,0.4894983090512416,120.50791285382584,236.40643744472646,570435.49,5353.71,575789.2,35.1,32.59,97740478.505
decentralized,10,2,4,Qwen_Qwen3.5-9B_decentralized_k10_R2_N4.jsonl,100,0,26,26.0,71.67886002886004,71.67886002886003,5.287323680209586,77.54259375438416,9.710566721221884,100,925929.25,9534.13,False,5.287323680209586,77.54259375438417,9.710566721221884,7754.259375438417,84.69330792,90.89218560503588,66.97972377145545,9.739065394918269,0.8238045880104536,167.92306799616665,393.4408622478321,916395.12,9534.13,925929.25,57.22,47.46,196200586.155
decentralized,10,2,5,Qwen_Qwen3.5-9B_decentralized_k10_R2_N5.jsonl,100,0,27,27.0,72.33625541125541,72.33625541125541,5.080754052233747,92.00237314443055,9.632427794614205,100,1122881.69,11334.87,False,5.080754052233747,92.0023731444305,9.632427794614205,9200.237314443051,102.96863970999998,107.78399632045478,81.3191842799278,9.79586264847945,0.887326216023295,168.26751341244207,475.3715965249948,1111546.82,11334.87,1122881.69,62.69,56.48,248837471.975
independent,20,,2,Qwen_Qwen3.5-9B_independent_k20_N2.jsonl,100,0,21,21.0,65.45898268398268,65.45898268398268,5.668657300225547,13.598903080343387,2.1715186109642564,100,164966.78,2052.16,False,5.668657300225547,13.598903080343387,2.1715186109642564,1359.8903080343387,15.897498900000006,17.000279368923255,10.822046681776166,2.493438378919882,0.2834180196473386,57.716067945319224,82.1990577102406,162914.62,2052.16,164966.78,16.76,13.19,29161473.95
independent,20,,3,Qwen_Qwen3.5-9B_independent_k20_N3.jsonl,100,0,24,24.0,69.13362193362197,69.13362193362194,5.537482420023006,19.06834891448263,2.8138659338065546,100,252976.42,2753.66,False,5.537482420023006,19.06834891448263,2.8138659338065546,1906.834891448263,21.97104061,23.474431932834282,15.954001308514098,2.7533761906445076,0.36097141532402277,67.21079743948299,112.64900338137522,250222.76,2753.66,252976.42,21.78,19.45,43206765.92
independent,20,,4,Qwen_Qwen3.5-9B_independent_k20_N4.jsonl,100,0,23,23.0,65.50209235209235,65.50209235209236,5.918572018427844,25.237981997254863,3.9156419769134487,100,317501.37,3634.51,False,5.918572018427844,25.23798199725487,3.9156419769134487,2523.798199725487,28.708493149999992,30.643958603552587,21.026183285696955,3.6918969768098338,0.5199017347480797,73.65771901281084,146.21993597878142,313866.86,3634.51,317501.37,34.63,25.13,52434763.475
independent,20,,5,Qwen_Qwen3.5-9B_independent_k20_N5.jsonl,100,0,24,24.0,67.79556277056275,67.79556277056277,5.64847626881045,31.217405795209476,4.689435031719047,100,330940.31,4596.49,False,5.64847626881045,31.21740579520948,4.689435031719047,3121.740579520948,35.74510917999998,38.13230029500036,27.62233965287032,3.08195888818741,0.5131072541517451,81.74156526509672,182.13544844860212,326343.82,4596.49,330940.31,39.55,28.26,72390211.405
