topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,loose_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,30,3,Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl,100,0,16,16.0,53.3260101010101,53.3260101010101,6.237209101340071,331.85889319008527,34.04477241452578,100,2054290.4,50111.65,False,6.237209101340071,331.85889319008544,34.04477241452578,33185.889319008544,370.8127967700002,393.96804819358323,125.6836610340718,204.7320578723541,1.4431742836592556,1346.330817600335,1813.3856256815325,2004178.75,50111.65,2054290.4,62.76,208.93,476710754.475
centralized,2,15,3,Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl,100,0,14,14.0,53.84841269841269,53.848412698412695,6.574191263753702,175.43946076429822,21.590197450435706,100,1493507.47,26658.25,False,6.574191263753702,175.43946076429827,21.590197450435706,17543.946076429827,202.77137698,215.69138802306944,64.91243315119424,109.62723144193177,0.8997961711722765,733.3606503898231,1010.6953029346699,1466849.22,26658.25,1493507.47,49.29,108.44,300427230.305
centralized,3,10,3,Qwen_Qwen3.5-9B_centralized_k3_R10_N3.jsonl,100,0,15,15.0,50.78571428571428,50.78571428571429,6.957633745754897,118.42855153988137,12.089539259381064,100,1259166.66,16963.38,False,6.957633745754897,118.42855153988135,12.089539259381064,11842.855153988135,135.16031031,143.38755125687817,56.20696920760864,61.258075692779656,0.963506639493071,469.9081625438994,679.3392754771235,1242203.28,16963.38,1259166.66,46.37,84.62,194560653.5
centralized,5,6,3,Qwen_Qwen3.5-9B_centralized_k5_R6_N3.jsonl,100,0,16,16.0,51.7433261183261,51.74332611832612,7.143432905621716,80.9136534567632,8.80753575369405,100,1065041.76,11303.27,False,7.143432905621716,80.91365345676323,8.80753575369405,8091.365345676322,93.10860212999998,99.22019618343535,44.77944529446949,35.37999873859094,0.7542094237027795,312.089795379024,471.84265170909,1053738.49,11303.27,1065041.76,40.16,63.54,155489580.165
centralized,6,5,3,Qwen_Qwen3.5-9B_centralized_k6_R5_N3.jsonl,100,0,20,20.0,54.075,54.074999999999996,7.139341568453722,71.32126756594283,8.416770636772087,100,914572.35,10315.97,False,7.139341568453722,71.32126756594283,8.416770636772087,7132.1267565942835,81.47788129999998,86.91416555228345,41.60867762909795,29.028900383852747,0.6836895529921294,278.6784909940325,417.9748168934928,904256.38,10315.97,914572.35,42.08,56.4,138619262.715
centralized,10,3,3,Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl,100,0,17,17.0,55.288492063492065,55.288492063492065,6.729187080940427,52.15423623135919,6.881354761777381,100,798306.12,7037.51,False,6.729187080940427,52.154236231359185,6.881354761777381,5215.423623135918,59.55496957000001,63.54136504861809,35.201896432979936,16.34828267023154,0.6040571281477218,190.29731805880553,304.9330420461297,791268.61,7037.51,798306.12,37.99,46.08,112213651.105
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl,100,0,20,20.0,58.06691919191919,58.0669191919192,6.504318791954695,37.6394676880276,4.621969622901014,100,593006.33,5214.67,False,6.504318791954695,37.639467688027594,4.621969622901014,3763.9467688027594,43.58433913000001,46.57577980642773,26.79819808287907,10.300302417319658,0.5409671878288791,140.8686839801073,223.98191048657057,587791.66,5214.67,593006.33,35.37,36.34,81525546.735
centralized,30,1,3,Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl,100,0,17,17.0,58.56352813852813,58.56352813852814,6.4736687516149205,22.4420683914486,3.4418121808492983,100,412300.73,3020.06,False,6.4736687516149205,22.4420683914486,3.4418121808492983,2244.20683914486,26.032396489999986,27.89164504423832,18.981831458442073,2.998602511818513,0.46163442118801995,81.68899031821172,137.0359290869301,409280.67,3020.06,412300.73,30.26,26.03,53752246.9
decentralized,1,30,3,Qwen_Qwen3.5-9B_decentralized_k1_R30_N3.jsonl,100,0,17,17.0,61.15209235209234,61.15209235209236,6.086009287650765,237.18001692338294,22.282909699040296,100,1770156.22,34842.75,False,6.086009287650765,237.18001692338296,22.282909699040296,23718.001692338297,268.08244743,281.2911486110626,217.94641860621113,18.96736058231536,0.2662377348564028,540.2525803515548,1299.426277790172,1735313.47,34842.75,1770156.22,13.97,84.25,865747262.415
decentralized,2,15,3,Qwen_Qwen3.5-9B_decentralized_k2_R15_N3.jsonl,100,0,25,25.0,64.96396103896105,64.96396103896103,5.9618158427566845,136.75248495755272,14.305076746010451,100,987810.68,21652.56,False,5.9618158427566845,136.75248495755272,14.305076746010451,13675.248495755272,157.73867695000004,167.2202823026873,118.34956361503254,18.102957269792935,0.29996407272722986,339.2658444226254,767.1481157122273,966158.12,21652.56,987810.68,18.13,49.26,501949561.12
