topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,10,2,1,Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl,100,0,27,27.0,27,11,11.0,40.74074074074074,11.0,6.163534339610314,21.464883073515782,2.1771515228033405,100,181741.7,4316.7,False,6.163534339610314,21.46488307351579,2.1771515228033405,2146.488307351579,25.332199489999994,27.401166413414657,10.658378532409998,10.517778155782132,0.28872638532365363,137.56757874434115,137.56757874434115,177425.0,4316.7,181741.7,19.75,24.75,27860057.08
centralized,10,2,2,Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,100,0,36,36.0,36,10,10.0,27.77777777777778,10.0,5.909622353724166,39.30124143563617,3.151851619769613,100,313048.36,6712.43,False,5.909622353724166,39.301241435636186,3.151851619769613,3930.1241435636184,44.641235909999985,47.900027192290665,22.74034151196289,15.95010306437135,0.6107968593019316,154.00366475084797,217.6242541804351,306335.93,6712.43,313048.36,39.84,46.84,48018443.605
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,100,0,43,43.0,42,14,14.0,33.333333333333336,14.000000000000002,6.835207725187628,55.772637555948215,4.222420834569859,100,475733.97,9320.84,False,6.835207725187628,55.7726375559482,4.222420834569859,5577.26375559482,62.35097079,66.83038598787861,36.991468208023235,17.811968654665677,0.9692006932592903,167.29826581271365,303.90714537069204,466413.13,9320.84,475733.97,59.83,68.83,72025826.55
centralized,10,2,4,Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,100,0,43,43.0,40,13,13.0,32.5,13.0,6.624754312196771,72.43831890989338,5.571768124367231,100,640807.13,11993.54,False,6.624754312196771,72.43831890989338,5.571768124367231,7243.831890989338,80.61158077000003,86.31397882040912,49.23845738646226,21.99116990820594,1.2086916152251548,180.66118530554698,391.8597825311683,628813.59,11993.54,640807.13,79.78,90.78,98440502.37
centralized,10,2,5,Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,100,0,42,42.0,39,11,11.0,28.205128205128204,11.0,6.163534339610314,89.7915232690519,9.520322409618089,100,785203.45,15218.48,False,6.163534339610314,89.79152326905191,9.520322409618089,8979.15232690519,102.38094159999999,109.29227573086136,61.35843280496992,27.00661146712598,1.4264789969560292,200.44347773024813,488.1447468598187,769984.97,15218.48,785203.45,99.67,112.67,128035990.06
centralized,10,2,10,Qwen_Qwen3.5-9B_centralized_k10_R2_N10.jsonl,100,0,68,68.0,59,13,13.0,22.033898305084747,13.0,6.624754312196771,175.5791207581015,12.566067240384514,100,1656538.1,27957.99,False,6.624754312196771,175.57912075810157,12.566067240384514,17557.912075810156,193.37102562,206.97606908690904,126.95717549753155,45.33264418994849,3.289301070621446,251.98172313943505,943.1868453270383,1628580.11,27957.99,1656538.1,199.35,222.35,260038075.515
decentralized,10,2,1,Qwen_Qwen3.5-9B_decentralized_k10_R2_N1.jsonl,100,0,26,26.0,26,10,10.0,38.46153846153846,10.0,5.909622353724166,24.23745802048896,2.723939598148765,100,179795.37,4912.43,False,5.909622353724166,24.237458020488965,2.723939598148765,2423.7458020488966,28.313391990000003,30.14702143126059,11.32293086490319,12.618697847183403,0.29582930840235966,154.09502010807861,154.09502010807861,174882.94,4912.43,179795.37,19.97,22.97,34215570.765
decentralized,10,2,2,Qwen_Qwen3.5-9B_decentralized_k10_R2_N2.jsonl,100,0,61,61.0,61,17,17.0,27.868852459016395,17.0,7.399493294145283,66.36269082419668,8.272273751499295,100,642382,11105.66,False,7.399493294145283,66.36269082419669,8.272273751499295,6636.269082419669,75.75555607999999,80.94413896242912,44.77273775217941,20.607104191455182,0.982848880562096,244.95843501780183,362.3288227817044,631276.34,11105.66,642382.0,59.82,66.82,128169449.66
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10_R2.jsonl,100,0,67,67.0,66,21,21.0,31.818181818181817,21.0,8.023459542510514,98.88827271123272,9.309962070306677,100,1044221.56,15549.86,False,8.023459542510514,98.88827271123274,9.309962070306677,9888.827271123275,108.67098322999995,116.394879322113,68.10656638295234,28.046946376439326,2.734759951841059,267.6403373123519,531.1532231809572,1028671.7,15549.86,1044221.56,89.79,99.77,199382152.76
decentralized,10,2,4,Qwen_Qwen3.5-9B_decentralized_k10_R2_N4.jsonl,100,0,69,69.0,66,24,24.0,36.36363636363637,24.0,8.413000041422185,121.61894045897967,10.259572170737526,100,1415194.09,19707.34,False,8.413000041422185,121.61894045897965,10.259572170737526,12161.894045897965,137.58285574000004,146.89862366251114,89.81320978433543,29.937520638623454,1.8682100360208111,269.40806821234526,656.199978723079,1395486.75,19707.34,1415194.09,119.66,132.65,257581482.5
