source_dir,cell_file,model,topology,k,R,N,task_id,instance_id,benchmark,patch_presence_correct,model_patch_length,real_correct,harness_category,gpu_dynamic_kJ,n_llm_calls,n_react_steps,rounds_used,wall_seconds,total_tokens
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,astropy__astropy-14182,,swebench,False,0,,unharnessed_nodiff,8.41569841536304,15,0,2,46.02021388709545,20155
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,astropy__astropy-7746,,swebench,False,0,,unharnessed_nodiff,8.598279011263536,15,0,2,46.7637594640255,32565
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-11620,,swebench,False,0,,unharnessed_nodiff,10.462386318318718,15,0,2,56.40459757857025,15966
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-11848,,swebench,False,0,,unharnessed_nodiff,14.486935333379865,15,0,2,79.26524008996785,18273
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-12284,,swebench,False,0,,unharnessed_nodiff,28.15080574377596,15,0,2,143.52965336292982,22570
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-12308,,swebench,False,0,,unharnessed_nodiff,15.114049862767686,15,0,2,79.25032973848283,18622
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-12497,,swebench,False,0,,unharnessed_nodiff,7.5150131003069145,15,0,2,43.4472551625222,14521
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-12589,,swebench,False,0,,unharnessed_nodiff,11.976482353526025,15,0,2,64.27359628118575,26336
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-13158,,swebench,False,0,,unharnessed_nodiff,6.487643303934333,15,0,2,35.91391156427562,16895
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-13447,,swebench,False,0,,unharnessed_nodiff,34.1068793459065,15,0,2,173.0221151895821,26689
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-14534,,swebench,False,0,,unharnessed_nodiff,8.110910568442927,15,0,2,45.92772155441344,17177
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-15202,,swebench,False,0,,unharnessed_nodiff,12.294350809398162,15,0,2,65.3665789924562,20076
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-15320,,swebench,False,0,,unharnessed_nodiff,7.559999956619064,15,0,2,44.545032700523734,17877
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-15819,,swebench,False,0,,unharnessed_nodiff,29.833058209835116,15,0,2,154.0966218188405,20325
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-15996,,swebench,False,0,,unharnessed_nodiff,28.51032356413324,15,0,2,147.61355841346085,19439
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-16139,,swebench,False,0,,unharnessed_nodiff,8.750630843381492,15,0,2,58.2201475687325,18373
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-16229,,swebench,False,0,,unharnessed_nodiff,7.24028727516379,15,0,2,40.06718053855002,17761
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,django__django-16820,,swebench,False,0,,unharnessed_nodiff,9.521646647312114,15,0,2,50.81448598206043,16179
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,matplotlib__matplotlib-18869,,swebench,False,0,,unharnessed_nodiff,8.14000028156867,15,0,2,43.94234979338944,25948
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,matplotlib__matplotlib-23299,,swebench,False,0,,unharnessed_nodiff,7.883674831368441,15,0,2,42.7063900642097,18163
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,matplotlib__matplotlib-24334,,swebench,False,0,,unharnessed_nodiff,28.59683873321199,15,0,2,146.43240104429424,18761
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,mwaskom__seaborn-3010,,swebench,False,0,,unharnessed_nodiff,9.270404249271568,15,0,2,50.212022891268134,32614
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,pydata__xarray-4248,,swebench,False,0,,unharnessed_nodiff,9.581480874137371,15,0,2,51.4225794877857,17977
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,pydata__xarray-4493,,swebench,False,0,,unharnessed_nodiff,26.044891700574546,15,0,2,133.29195506125689,27877
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,pytest-dev__pytest-5495,,swebench,False,0,,unharnessed_nodiff,6.498339491351417,15,0,2,35.71378534659743,17939
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,pytest-dev__pytest-8365,,swebench,False,0,,unharnessed_nodiff,9.710236408226038,15,0,2,51.84449071623385,20281
a5000_swebench,Qwen_Qwen3.5-9B_centralized_k1.jsonl,Qwen_9B_BF16,centralized,1,,,scikit-learn__scikit-learn-13142,,swebench,False,0,,unharnessed_nodiff,28.76183820038753,15,0,2,146.80814818665385,35138
