topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,30,3,Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl,100,0,68,68.0,66,16,16.0,24.242424242424242,16.0,7.221677803878425,457.39049791136,29.37363854681095,100,2988903.52,65495.75,False,7.221677803878425,457.39049791136,29.37363854681095,45739.049791136,520.9504365799999,550.1230048043276,108.99359372084356,347.0393780203753,1.3575261701412225,1837.3638304661959,2527.6035915039292,2923407.77,65495.75,2988903.52,88.57,267.04,662755118.405
centralized,2,15,3,Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl,100,0,76,76.0,72,20,20.0,27.77777777777778,20.0,7.879496471632222,246.7883503449627,17.107112291307295,100,1800714.86,38979.26,False,7.879496471632222,246.78835034496268,17.107112291307295,24678.835034496267,277.8940098199999,295.75949065834067,79.6142055515268,165.60245264613513,1.5716921473008116,949.8238882192318,1363.124474588274,1761735.6,38979.26,1800714.86,89.01,177.96,364924018.95
centralized,3,10,3,Qwen_Qwen3.5-9B_centralized_k3_R10_N3.jsonl,100,0,69,69.0,65,21,21.0,32.30769230769231,21.0,8.023459542510514,165.74064857984746,9.069036092893827,100,1458322.52,27385.15,False,8.023459542510514,165.7406485798474,9.069036092893827,16574.06485798474,191.680951,204.48367913079272,67.39588093081574,96.80807488922638,1.5366927598053417,624.5403204652341,950.9298216889566,1430937.37,27385.15,1458322.52,89.1,148.1,238967090.965
centralized,5,6,3,Qwen_Qwen3.5-9B_centralized_k5_R6_N3.jsonl,100,0,69,69.0,67,21,21.0,31.34328358208955,21.0,8.023459542510514,128.21872339601327,9.59831951383836,100,1262095.1,21809.82,False,8.023459542510514,128.21872339601327,9.59831951383836,12821.872339601328,147.04131316,157.11866678852442,65.18001467577017,61.52851364774025,1.5101950725028734,461.6706231990829,738.2320621771598,1240285.28,21809.82,1262095.1,88.85,123.85,216644915.99
centralized,6,5,3,Qwen_Qwen3.5-9B_centralized_k6_R5_N3.jsonl,100,0,66,66.0,64,26,26.0,40.625,26.0,8.640542444625437,116.6586537901441,7.616179882951928,100,1219409.76,19992.46,False,8.640542444625437,116.65865379014413,7.616179882951928,11665.865379014413,132.20258302,141.8309332005438,63.419042015918365,51.73692051502243,1.502691259203309,404.19296734659935,671.3975928352401,1199417.3,19992.46,1219409.76,89.48,118.48,199305508.12
centralized,10,3,3,Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl,100,0,68,68.0,64,26,26.0,40.625,26.0,8.640542444625437,96.37335500274831,7.978202759477433,100,1142935.6,17130.9,False,8.640542444625437,96.37335500274833,7.978202759477433,9637.335500274832,111.00953420999994,119.01404757987407,61.955393631117325,33.00730262627572,1.4106587453552633,319.958919329294,570.1626225584513,1125804.7,17130.9,1142935.6,88.93,105.93,196919775.87
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl,100,0,68,68.0,65,21,21.0,32.30769230769231,21.0,8.023459542510514,82.35351382791275,5.581763707641637,100,1069701.89,15003.82,False,8.023459542510514,82.35351382791276,5.581763707641637,8235.351382791276,95.88827435000005,103.00111498065532,60.0536508972321,20.863527240420765,1.4363356902598985,260.0956918617943,496.65245340795724,1054698.07,15003.82,1069701.89,88.77,99.77,178377666.73
centralized,30,1,3,Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl,100,0,63,63.0,63,21,21.0,33.333333333333336,21.0,8.023459542510514,68.33027241324552,5.182100201959073,100,992135.22,13034.83,False,8.023459542510514,68.33027241324552,5.182100201959073,6833.027241324552,81.28167656000001,87.77816166414972,56.871884659859795,10.148836988833029,1.309550764552663,203.5177343339799,429.4881213386962,979100.39,13034.83,992135.22,88.33,93.33,164530621.355
decentralized,1,30,3,Qwen_Qwen3.5-9B_decentralized_k1_R30_N3.jsonl,100,0,82,82.0,81,24,24.0,29.62962962962963,24.0,8.413000041422185,378.09639408115856,44.5757454727793,100,3049683.73,41742.38,False,8.413000041422185,378.0963940811585,44.5757454727793,37809.63940811585,435.18854407999993,459.53159514090817,154.9429791030624,221.74427617684825,1.4091388012480133,1158.574392262171,2117.6330561345767,3007941.35,41742.38,3049683.73,85.47,175.3,955192264.51
decentralized,2,15,3,Qwen_Qwen3.5-9B_decentralized_k2_R15_N3.jsonl,100,0,78,78.0,77,28,28.0,36.36363636363637,28.000000000000004,8.844712853142575,189.316147189895,21.153828919738668,100,1802414.87,26479.52,False,8.844712853142575,189.31614718989493,21.153828919738668,18931.614718989495,218.11424428000012,232.43051820059569,99.83415703589812,87.80721159380619,1.6747785601906124,575.6261626330996,1087.349644152755,1775935.35,26479.52,1802414.87,89.3,135.29,467395759.99
decentralized,3,10,3,Qwen_Qwen3.5-9B_decentralized_k3_R10_N3.jsonl,100,0,77,77.0,75,28,28.0,37.333333333333336,28.000000000000004,8.844712853142575,147.64251738311802,18.32680613298522,100,1439178.26,22067.25,False,8.844712853142575,147.64251738311796,18.32680613298522,14764.251738311797,166.27428695000003,177.63045636532715,86.3522663538788,59.54754414789114,1.7427068813480875,428.41372832386753,835.6128517663898,1417111.01,22067.25,1439178.26,88.6,119.54,367536932.945
decentralized,5,6,3,Qwen_Qwen3.5-9B_decentralized_k5_R6_N3.jsonl,100,0,71,71.0,69,26,26.0,37.68115942028985,26.0,8.640542444625437,106.7621383739762,9.228298982666622,100,1237780.01,17848.6,False,8.640542444625437,106.76213837397613,9.228298982666622,10676.213837397612,124.34838364000005,133.09942346388604,70.21233239465269,35.119218314328,1.4305876649955171,319.70472508490553,632.3656854400645,1219931.41,17848.6,1237780.01,89.16,108.15,256552743.12
decentralized,6,5,3,Qwen_Qwen3.5-9B_decentralized_k6_R5_N3.jsonl,100,0,64,64.0,64,25,25.0,39.0625,25.0,8.529805141829193,93.2727609073799,6.685066440466484,100,1188618.72,15548.38,False,8.529805141829193,93.27276090737992,6.685066440466484,9327.276090737992,107.23793895000006,115.17701786528441,65.56356005085827,26.120456439966414,1.588744416555227,267.66630759147927,555.2383923000563,1173070.34,15548.38,1188618.72,89.71,105.71,207193585.33
decentralized,10,3,3,Qwen_Qwen3.5-9B_decentralized_k10_R3_N3.jsonl,100,0,73,73.0,73,23,23.0,31.506849315068493,23.0,8.289870659760354,89.333127951797,9.131273100619769,100,1122729.44,16239.52,False,8.289870659760354,89.33312795179704,9.131273100619769,8933.312795179703,106.51368856999997,114.46784963674315,66.98533685484944,20.857156450342778,1.4906346466047549,266.49937081638257,548.8154520265012,1106489.92,16239.52,1122729.44,89.73,99.69,222246929.14
decentralized,15,2,3,Qwen_Qwen3.5-9B_decentralized_k15_R2_N3.jsonl,100,0,67,67.0,64,24,24.0,37.5,24.0,8.413000041422185,78.78100727943307,6.222293939968181,100,1031119.14,14526.43,False,8.413000041422185,78.78100727943308,6.222293939968181,7878.100727943308,92.94652421999997,99.66567255017993,61.686978520783335,15.611728596070211,1.482300162579513,226.43782077477314,477.4663688446162,1016592.71,14526.43,1031119.14,89.11,96.1,180855847.985
decentralized,30,1,3,Qwen_Qwen3.5-9B_decentralized_k30_R1_N3.jsonl,100,0,72,72.0,71,24,24.0,33.80281690140845,24.0,8.413000041422185,76.86353750972067,5.603045621043565,100,973059.59,14231.68,False,8.413000041422185,76.86353750972071,5.603045621043565,7686.353750972071,88.69441907000002,94.34511499780248,61.98403716223416,13.193489650852564,1.6860106966339459,221.9160965602519,458.5468149417173,958827.91,14231.68,973059.59,87.49,91.47,173907357.15
