topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,2,3,Qwen_Qwen3.5-9B_centralized_k1_R2.jsonl,50,0,11,22.0,21.27659574468085,11.827151490956096,22.299827284726405,4.076554320145738,47,44536,3990.7872340425533,False,11.598896499236469,21.81263060027339,3.8910601140225434,1090.6315300136696,23.973461939999996,25.586738380445148,5.5704222413570506,16.217177207143674,0.02503115177265986,72.26122867960483,108.52710864309222,40154.12,3903.06,44057.18,5.52,13.96,12678203.27
centralized,2,2,3,Qwen_Qwen3.5-9B_centralized_k2_R2.jsonl,50,0,30,60.0,57.446808510638306,14.288155810359768,31.39090393021151,3.6318713832188374,47,83724,5579.808510638298,False,13.717142559585795,30.49988296945547,3.5831667861004424,1524.9941484727735,33.51263036,35.750096569049596,14.408909607204826,16.057220356333122,0.03375300591751918,94.44626636113972,151.50283387918026,76747.12,5423.4,82170.52,10.36,18.4,26833746.14
centralized,3,2,3,Qwen_Qwen3.5-9B_centralized_k3_R2.jsonl,50,0,38,76.0,74.46808510638297,12.600968989318167,39.039692097297035,5.602115788115883,47,113953.74468085106,6919.553191489362,False,11.958327642275068,37.852859751279375,5.448395504477313,1892.6429875639687,41.57951992,44.338515543498715,25.451886425710573,12.352029647155769,0.048943678413034354,108.99506211530417,187.3707847988233,104587.6,6713.34,111300.94,13.18,20.4,45152666.89
centralized,5,2,3,Qwen_Qwen3.5-9B_centralized_k5_R2.jsonl,50,0,40,80.0,78.72340425531915,11.827151490956096,46.21521745425779,7.236125488159942,47,155228.1914893617,8286.72340425532,False,11.200000000000001,44.451451357185334,7.091097281715842,2222.5725678592667,49.656266939999995,53.004420817561765,34.12690513718198,10.266208502520403,0.0583377174829537,130.13968144409358,223.85253678508104,142189.7,7972.72,150162.42,17.24,24.06,59524693.7
centralized,7,2,3,Qwen_Qwen3.5-9B_centralized_k7_R2.jsonl,50,0,41,82.0,80.85106382978722,11.370834816554783,49.30500528331586,7.367867359168713,47,162825.8510638298,8784.468085106382,False,10.757248718887185,47.48099155083218,7.236425681203196,2374.049577541609,52.147031699999985,55.54544765679262,38.577634396218734,8.83871408520323,0.06464306941022113,135.24077409528195,234.64571612354368,148808.88,8462.2,157271.08,17.9,23.88,65872594.66
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,50,0,41,82.0,80.85106382978722,11.370834816554783,53.74890291243496,9.041749105448302,47,182035.55319148937,9551.510638297872,False,10.757248718887185,51.60749094932742,8.831579892606443,2580.374547466371,56.673527099999994,60.3345773040616,42.81287046789735,8.727763276101143,0.06685720532891393,149.91742133289574,254.7257321915403,166229.14,9174.28,175403.42,18.52,24.98,82522047.48
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2.jsonl,50,0,44,88.0,87.2340425531915,9.643770156545981,59.07570506603128,10.992413324550531,47,190787.55319148937,10528.68085106383,False,9.098923013192275,56.68349701043557,10.67325913057331,2834.174850521779,62.2413576,66.22637175889572,48.696959322880204,7.9150339494549895,0.07150373810036599,165.2809277382493,279.3750452004373,173559.64,10105.02,183664.66,18.52,25.18,91575837.73
centralized,20,2,3,Qwen_Qwen3.5-9B_centralized_k20_R2.jsonl,50,0,40,80.0,78.72340425531915,11.827151490956096,53.09838623332167,10.833269880844776,47,173879.78723404257,9348.106382978724,False,11.200000000000001,51.83095367270909,10.327669361526352,2591.5476836354546,56.91927968,60.57682145526038,44.89724849455846,6.864364750455682,0.06934042769495101,151.94230728283526,255.8316597527638,161317.52,9133.66,170451.18,18.28,25.02,88103977.07
centralized,30,2,3,Qwen_Qwen3.5-9B_centralized_k30_R2.jsonl,50,0,39,78.0,76.59574468085107,12.23564563361845,49.15570246237746,8.610311790367208,47,177033.3829787234,8754.659574468085,False,11.598896499236469,47.12335766000206,8.40991203020752,2356.167883000103,51.75686346000001,55.12553241499381,40.24646405243814,6.808961752260153,0.06793185530375957,138.62161711681634,233.04673720072955,161959.1,8394.56,170353.66,18.52,25.0,72768470.52
centralized,50,2,3,Qwen_Qwen3.5-9B_centralized_k50_R2.jsonl,50,0,41,82.0,80.85106382978722,11.370834816554783,60.191607900308746,11.96098313401891,47,206687.78723404257,10686.595744680852,False,10.757248718887185,58.807870237268155,11.519506343009226,2940.3935118634076,64.57089138,68.68171281156933,50.63068688365811,8.103232268659468,0.07395108495056107,172.48929459225386,289.6847770245001,190161.64,10447.64,200609.28,19.58,25.64,106011718.8
