topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,10,2,1,Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl,100,0,69,69.0,69.0,9.110534694749942,15.713644857746518,2.9758736310409937,100,58458.23,3224.28,False,9.110534694749942,15.713644857746518,2.9758736310409937,1571.3644857746517,18.09769876,19.27379120745574,12.974682360895626,2.7202028878960016,0.018759608954895885,93.49111020280048,93.49111020280048,55233.95,3224.28,58458.23,6.72,10.57,29233534.83
centralized,10,2,2,Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl,100,0,80,80.0,80.0,7.879496471632222,30.856189827094852,5.082169019404465,100,103797.21,5627.15,False,7.879496471632222,30.85618982709485,5.082169019404465,3085.618982709485,34.80539659000001,37.16533396567012,25.308772996307347,5.511213141195758,0.03620368959175215,109.4009865491651,156.7260808779858,98170.06,5627.15,103797.21,10.26,16.27,46621878.285
centralized,10,2,3,Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl,100,0,82,82.0,82.0,7.5680092254412346,47.16567261729189,5.961782652594481,100,166141.4,8426.53,False,7.5680092254412346,47.165672617291904,5.961782652594481,4716.56726172919,52.182415019999986,55.631520745570235,38.75999129217802,8.345216592984341,0.060464732129525016,138.71292345779017,234.94881920143962,157714.87,8426.53,166141.4,17.23,24.3,70311873.555
centralized,10,2,4,Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl,100,0,84,84.0,84.0,7.221677803878425,62.79085092639465,7.5267832321958625,100,243512.45,11812.68,False,7.221677803878425,62.790850926394654,7.5267832321958625,6279.085092639465,73.38079857,78.34918833655281,54.57570361334011,8.133489047833466,0.08165826522108231,169.35356654288248,331.05274702634665,231699.77,11812.68,243512.45,25.97,33.68,103662112.5
centralized,10,2,5,Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl,100,0,82,82.0,82.0,7.5680092254412346,84.8362546616709,9.416398596775416,100,313297.26,14974.23,False,7.5680092254412346,84.83625466167092,9.416398596775416,8483.625466167092,93.28387941,99.57292121361247,74.96542005486731,9.735111013234793,0.13572359356879632,187.20326426846907,419.9272939112037,298323.03,14974.23,313297.26,35.09,42.55,133065520.345
decentralized,10,2,1,Qwen_Qwen3.5-9B_decentralized_k10_R2_N1.jsonl,100,0,77,77.0,77.0,8.289870659760354,10.878145203369549,2.333766997443976,100,45178.59,2295.38,False,8.289870659760354,10.878145203369547,2.333766997443976,1087.8145203369547,12.578339620000008,13.30744153666533,9.669390297524204,1.1961036350176943,0.012651270827651826,65.02752593690529,65.02752593690529,42883.21,2295.38,45178.59,4.59,7.11,21461109.66
decentralized,10,2,2,Qwen_Qwen3.5-9B_decentralized_k10_R2_N2.jsonl,100,0,84,84.0,84.0,7.221677803878425,29.23047915684082,4.528529585979786,100,129554.67,5246.15,False,7.221677803878425,29.230479156840815,4.528529585979786,2923.0479156840815,33.10687320999999,35.395007622292034,27.23250756044183,1.9519945637254055,0.04597703267357731,95.17363207012414,149.609312703982,124308.52,5246.15,129554.67,12.85,17.5,50190439.735
decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10_R2.jsonl,100,0,83,83.0,83.0,7.399493294145283,42.690885695360336,6.5058961838374,100,193248.67,7841.67,False,7.399493294145283,42.69088569536035,6.5058961838374,4269.088569536035,49.26987279000001,52.577218648140025,40.14427911942521,2.485912605998579,0.06069396993655256,106.71035158621147,222.3508012900315,185407.0,7841.67,193248.67,17.59,24.7,79645813.855
decentralized,10,2,4,Qwen_Qwen3.5-9B_decentralized_k10_R2_N4.jsonl,100,0,86,86.0,86.0,6.835207725187628,57.298277938440314,8.151975551942435,100,250203.31,10119.55,False,6.835207725187628,57.29827793844029,8.151975551942435,5729.82779384403,64.376338,68.78554381233502,55.02352126286328,2.1935100903237537,0.08124658525329646,107.55418558012694,290.53940516036005,240083.76,10119.55,250203.31,22.38,31.77,105399785.305
decentralized,10,2,5,Qwen_Qwen3.5-9B_decentralized_k10_R2_N5.jsonl,100,0,85,85.0,85.0,7.033857513139679,72.99398766252368,9.267364723410914,100,351826.85,13080.48,False,7.033857513139679,72.99398766252366,9.267364723410914,7299.398766252367,83.14027012000003,86.94259780685871,70.28518757432721,2.603917170096279,0.10488291810019107,123.54279579617084,375.00666801460085,338746.37,13080.48,351826.85,29.34,40.74,133994129.36
independent,20,,2,Qwen_Qwen3.5-9B_independent_k20_N2.jsonl,100,0,81,81.0,81.0,7.727833990311786,13.161189216221615,2.6359749549049054,100,52155.43,2596.09,False,7.727833990311786,13.161189216221612,2.6359749549049054,1316.1189216221612,15.091185840000001,15.925687361997921,12.141680773223307,0.9988022014497383,0.02070624154857284,49.20452513086144,72.56131908602546,49559.34,2596.09,52155.43,6.9,9.45,22080891.095
independent,20,,3,Qwen_Qwen3.5-9B_independent_k20_N3.jsonl,100,0,80,80.0,80.0,7.879496471632222,19.688272975559244,3.8652321730615053,100,80135.03,4118.69,False,7.879496471632222,18.900742056536878,3.8652321730615053,1890.0742056536878,21.66264934999999,23.12346458218043,17.761309898003258,1.1079575337982148,0.031474624735399186,60.15903058633674,115.96699861515313,76016.34,4118.69,80135.03,10.34,13.74,36560824.475
independent,20,,4,Qwen_Qwen3.5-9B_independent_k20_N4.jsonl,100,0,86,86.0,86.0,6.835207725187628,27.98832791812554,5.497056259759862,100,107840.57,5554.64,False,6.835207725187628,27.428561359763027,5.497056259759862,2742.8561359763025,31.489102950000014,33.44604543585403,26.24505580230305,1.140056974705648,0.04344858275433736,60.61014354190789,154.67205941064748,102285.93,5554.64,107840.57,14.37,18.43,45982224.07
independent,20,,5,Qwen_Qwen3.5-9B_independent_k20_N5.jsonl,100,0,86,86.0,86.0,6.835207725187628,31.715932442163382,6.296957089125173,100,143592.64,6595.84,False,6.835207725187628,31.081613793320113,6.296957089125173,3108.161379332011,38.409530260000004,39.620447135535436,29.581331214649644,1.4634052802727795,0.03687729839770168,62.697705414006485,183.8238410695456,136996.8,6595.84,143592.64,18.18,23.21,58819070.32
