topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
centralized,1,30,3,Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl,100,0,81,81.0,81.0,7.727833990311786,374.86389254042945,27.740429279014034,100,1962040.98,64817.98,False,7.727833990311786,374.8638925404294,27.740429279014034,37486.38925404294,436.6616155200003,462.85460113633206,167.86410755071338,206.89564167201925,0.10414331769677991,1448.7114232642205,2093.4668968997803,1897223.0,64817.98,1962040.98,36.45,208.37,694116349.67
centralized,2,15,3,Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl,100,0,86,86.0,86.0,6.835207725187628,205.05144933597177,16.44826291270735,100,960623.84,36712.07,False,6.835207725187628,205.05144933597174,16.44826291270735,20505.144933597174,231.24915677999996,243.8283504188694,106.22879913800898,98.70637095237473,0.11627924558798636,774.8029263707763,1113.098969303933,923911.77,36712.07,960623.84,38.52,120.24,326073636.645
centralized,3,10,3,Qwen_Qwen3.5-9B_centralized_k3_R10_N3.jsonl,100,0,85,85.0,85.0,7.033857513139679,155.9638950674647,14.367942811799855,100,682926.91,28957.54,False,7.033857513139679,155.96389506746465,14.367942811799855,15596.389506746464,178.81584526999995,189.65169991660866,90.63328038536862,65.21300103193396,0.11761365016207607,588.6186551786168,854.4814512493741,653969.37,28957.54,682926.91,37.78,89.72,251865260.04
centralized,5,6,3,Qwen_Qwen3.5-9B_centralized_k5_R6_N3.jsonl,100,0,86,86.0,86.0,6.835207725187628,116.14692772469952,11.760094042465557,100,455030.48,21697.86,False,6.835207725187628,116.14692772469945,11.760094042465557,11614.692772469945,132.04704427000001,140.02482409415722,77.84014754421341,38.20262441376679,0.10415576671931231,420.8262382598082,632.3390872280626,433332.62,21697.86,455030.48,32.24,61.6,194712980.43
centralized,6,5,3,Qwen_Qwen3.5-9B_centralized_k6_R5_N3.jsonl,100,0,86,86.0,86.0,6.835207725187628,106.06353460107873,11.574073882283818,100,416676.58,19610.6,False,6.835207725187628,106.06353460107874,11.574073882283818,10606.353460107874,118.32211913999996,125.45985619068051,74.95921735565038,31.001497778846915,0.10281946658143087,379.08919781012463,566.9063087828364,397065.98,19610.6,416676.58,30.98,55.06,182080802.9
centralized,10,3,3,Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl,100,0,83,83.0,83.0,7.399493294145283,70.95326237076254,8.317810244058585,100,271689.35,13507.72,False,7.399493294145283,70.95326237076252,8.317810244058585,7095.326237076252,80.24141921999998,85.09325720925244,56.25095194047894,14.62117457255408,0.08113585772950355,251.13468069372698,383.9776716075698,258181.63,13507.72,271689.35,24.95,38.57,121283641.15
centralized,15,2,3,Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl,100,0,80,80.0,80.0,7.879496471632222,53.932829667120295,7.75888978706845,100,187059.14,10236.38,False,7.879496471632222,53.932829667120316,7.75888978706845,5393.282966712031,61.78125318999999,65.51911932038989,45.050572201778024,8.82090907487095,0.06134839047132386,185.20570476167836,295.77575673214625,176822.76,10236.38,187059.14,21.14,27.95,97084259.2
centralized,30,1,3,Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl,100,0,78,78.0,78.0,8.16013071790724,30.473825402190595,5.363446266815389,100,111756.69,6119.73,False,8.16013071790724,30.473825402190606,5.363446266815389,3047.3825402190605,35.75054846000002,37.93152735135554,28.495201526833135,1.9379977587621167,0.04062611659533505,97.54329318006057,171.8087534942897,105636.96,6119.73,111756.69,13.93,17.07,56539647.695
decentralized,1,30,3,Qwen_Qwen3.5-9B_decentralized_k1_R30_N3.jsonl,100,0,56,56.0,56.00000000000001,9.778197970769234,268.3714914208723,15.167530501439952,100,2064130.49,40567.59,False,9.778197970769234,268.37149142087236,15.167530501439952,26837.149142087233,307.18227379999996,323.8830089474128,249.2508044161697,19.08860089589101,0.03208610881175258,547.2531411976647,1474.1936279015197,2023562.9,40567.59,2064130.49,9.71,95.77,1006275259.925
decentralized,2,15,3,Qwen_Qwen3.5-9B_decentralized_k2_R15_N3.jsonl,100,0,77,77.0,77.0,8.289870659760354,136.09373146399653,13.153622710718482,100,827378.2,25577.93,False,8.289870659760354,132.01091952007664,13.153622710718482,13201.091952007664,150.64175741,160.2779388788508,122.11688452919043,9.85314695969837,0.04088803118781385,307.3443114060446,791.6100774324732,801800.27,25577.93,827378.2,14.6,59.06,441770607.585
decentralized,3,10,3,Qwen_Qwen3.5-9B_decentralized_k3_R10_N3.jsonl,100,0,83,83.0,83.0,7.399493294145283,99.46143740153515,7.825215915526776,100,494212.22,18509.51,False,7.399493294145283,99.46143740153516,7.825215915526776,9946.143740153517,112.11398303000001,118.8760739588656,92.75804522687649,6.647194457990663,0.056197716668024714,220.34987399559932,542.4540881374711,475702.71,18509.51,494212.22,16.45,45.45,250336235.915
decentralized,5,6,3,Qwen_Qwen3.5-9B_decentralized_k5_R6_N3.jsonl,100,0,83,83.0,83.0,7.399493294145283,69.1557855874244,7.068384362862211,100,328718.41,12798.88,False,7.399493294145283,69.1557855874244,7.068384362862211,6915.57855874244,77.50769177000001,82.19145684445641,64.71292325998748,4.380485107487642,0.062377219949268856,160.28981663202867,371.60153179187796,315919.53,12798.88,328718.41,19.55,36.63,140297353.68
decentralized,6,5,3,Qwen_Qwen3.5-9B_decentralized_k6_R5_N3.jsonl,100,0,86,86.0,86.0,6.835207725187628,63.6151489245684,7.425163774700221,100,301170.59,11816.73,False,6.835207725187628,63.61514892456842,7.425163774700221,6361.514892456842,70.87751243999999,75.17822613629487,60.34119911507908,3.210413568498621,0.06353624099068997,152.80867356876843,340.16370276941916,289353.86,11816.73,301170.59,19.86,33.37,130233625.205
decentralized,10,3,3,Qwen_Qwen3.5-9B_decentralized_k10_R3_N3.jsonl,100,0,85,85.0,85.0,7.033857513139679,42.308804158349716,5.91303286063516,100,197971.41,8177.5,False,7.033857513139679,42.308804158349716,5.91303286063516,4230.880415834971,48.83431102999999,51.81230012890332,40.30508660359523,1.9463071419093254,0.05741041284515954,107.81764413740021,234.27355747416615,189793.91,8177.5,197971.41,18.57,26.39,78729061.49
decentralized,15,2,3,Qwen_Qwen3.5-9B_decentralized_k15_R2_N3.jsonl,100,0,85,85.0,85.0,7.033857513139679,33.501427467442376,5.271775837122237,100,145509.94,6440.47,False,7.033857513139679,33.501427467442355,5.271775837122237,3350.1427467442354,38.01523317999998,40.1054467362513,31.51289170557734,1.942133863008167,0.04640189885688244,90.02278459038119,182.04868440665305,139069.47,6440.47,145509.94,15.92,20.96,59089411.545
decentralized,30,1,3,Qwen_Qwen3.5-9B_decentralized_k30_R1_N3.jsonl,100,0,80,80.0,80.0,7.879496471632222,21.04307599866533,4.0630598651753695,100,75297.03,4102.29,False,7.879496471632222,21.043075998665326,4.0630598651753695,2104.3075998665327,23.971502200000014,25.423618371447716,19.474640561739715,1.5376968812138336,0.030738555711776642,58.08707185568288,114.3828120962577,71194.74,4102.29,75297.03,10.07,13.5,33497312.875
